Loaded 181 target HCPs
[done 1/181] 040f355f-cd2e-428d-a6ca-5c4c2f92002b: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 2/181] 077685e1-750d-4761-86fb-448e3a5f75b8: 5 papers, 25 positions, depth=deep, synthesis written
[done 3/181] 0470097c-dc26-44a5-ae59-58b55523bb44: 5 papers, 25 positions, depth=deep, synthesis written
[done 4/181] 02b9b36c-3bc2-4e77-baa9-406ded8d636e: 10 papers, 50 positions, depth=deep, synthesis written
[done 5/181] 026850cd-c8e4-4fee-8612-3fcf1bd993de: 10 papers, 50 positions, depth=deep, synthesis written
[done 6/181] 060c035c-1efd-4117-8e51-df85748ad07a: 10 papers, 50 positions, depth=deep, synthesis written
[done 7/181] 0011eee6-d1bc-4f2a-ab40-f197bd8827e7: 10 papers, 47 positions, depth=deep, synthesis written
[done 8/181] 08d98a96-5851-4589-baa1-5e818b687bf0: 4 papers, 19 positions, depth=focused, synthesis written
[done 9/181] 04ef972f-6b5f-493a-af3c-9874767148b9: 10 papers, 50 positions, depth=deep, synthesis written
[done 10/181] 0838caf0-7cf7-4fa8-bf2e-deb52cb120a1: 10 papers, 50 positions, depth=deep, synthesis written
[done 11/181] 0d8905ca-f572-4063-80c8-bdfb6d665138: 9 papers, 43 positions, depth=deep, synthesis written
[done 12/181] 11a226e4-f635-4772-825d-79e144e81e32: 4 papers, 20 positions, depth=focused, synthesis written
[done 13/181] 1024b2e7-f089-4fa4-9545-c1949ae3a429: 10 papers, 50 positions, depth=deep, synthesis written
[done 14/181] 13da93e6-a899-41cf-adaf-d811a54b3614: 4 papers, 20 positions, depth=focused, synthesis written
[done 15/181] 0e8112a8-7b62-45ad-917c-95e9e85674c1: 10 papers, 50 positions, depth=deep, synthesis written
[done 16/181] 1345972e-f804-4a06-8688-d20a65dcc86f: 5 papers, 24 positions, depth=deep, synthesis written
[done 17/181] 130b7d7c-4058-4c31-a7bd-69217fafc8d0: 6 papers, 29 positions, depth=deep, synthesis written
[done 18/181] 1144b6cf-cf2e-4668-9740-b1e906bc86e2: 10 papers, 48 positions, depth=deep, synthesis written
[done 19/181] 160e69c3-b8cc-4650-8597-5298ffa6cacd: 10 papers, 50 positions, depth=deep, synthesis written
[done 20/181] 164ef6fd-c3a8-4d69-9bb9-0e51303681eb: 10 papers, 50 positions, depth=deep, synthesis written
[done 21/181] 1c4160e4-a916-494d-b9e8-93648cdf75b0: 7 papers, 34 positions, depth=deep, synthesis written
[done 22/181] 20c0988c-e4e3-4e62-9d1a-dda8020258aa: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 23/181] 1c3ec15c-afce-4749-b925-06ee3c574d0a: 10 papers, 49 positions, depth=deep, synthesis written
[done 24/181] 194bb3b1-5c62-4301-b8cb-0add9e65fd16: 10 papers, 50 positions, depth=deep, synthesis written
[done 25/181] 1dbd7953-df8f-45f6-8c73-eb80e73c265c: 10 papers, 50 positions, depth=deep, synthesis written
[done 26/181] 1ed2bb6a-9699-44d5-8d47-cb55121ff57a: 10 papers, 49 positions, depth=deep, synthesis written
[done 27/181] 1f8e627b-ac6d-4637-aaa1-de1c54fb8051: 10 papers, 50 positions, depth=deep, synthesis written
[done 28/181] 223de699-3f03-41b8-b005-55b831a45274: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 29/181] 272f5194-9380-411c-bac1-dbb64830e197: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 30/181] 2036bbe7-5797-4af9-b9ac-2125f0de98d4: 10 papers, 50 positions, depth=deep, synthesis written
[done 31/181] 2ab0bb27-32f9-4523-a491-2f3f8e2a5b84: 6 papers, 30 positions, depth=deep, synthesis written
[done 32/181] 26476768-0f94-41ad-9a09-7acc15484fc5: 9 papers, 45 positions, depth=deep, synthesis written
[done 33/181] 23d5c6d8-eea0-4b83-baaa-ae0dbe54c34a: 10 papers, 49 positions, depth=deep, synthesis written
[done 34/181] 211fef7c-e73a-44f1-8f98-6b2093ca4614: 10 papers, 50 positions, depth=deep, synthesis written
[done 35/181] 2302d82f-c44a-498e-b0ab-6ca39a3f8964: 10 papers, 49 positions, depth=deep, synthesis written
